Type,Id,Summary,Company,Product,First Approved (year),Week,Subsequent Approvals,Latency,Rejections (before first approval),Approved 1st time,Quarter,Rework Week,Rework Quarter,Rework Year,Adj Week,Adj Quarter,Adj Year
Playbook,CENPRO-18530,"Prod2 Playbook - DevFactory: Central Process: EBS - Delete volume - L3 WU - 18530",DevFactory,DevFactory,2021,13,0,12,0,Y,1,,,,13,1,2021
Playbook,CENPRO-18531,"Prod2 Playbook - DevFactory: Central Process: EBS - Retype single volume - L3 WU - 18531",DevFactory,DevFactory,2021,14,0,18,0,Y,2,,,,14,2,2021
Playbook,CENPRO-18532,"Prod2 Playbook - DevFactory: Central Process: EBS - Retype ASG volume - L3 WU - 18532",DevFactory,DevFactory,2021,21,0,90,0,Y,2,,,,21,2,2021
Playbook,CENPRO-18533,"Prod2 Playbook - DevFactory: Central Process: EBS - Resize volume - L3 WU - 18533",DevFactory,DevFactory,2021,23,0,81,0,Y,2,,,,23,2,2021
Playbook,CENPRO-18534,"Prod2 Playbook - DevFactory: Central Process: EC2 - SSM installation - L3 WU - 18534",DevFactory,DevFactory,2021,20,0,60,0,Y,2,,,,20,2,2021
Playbook,CENPRO-18535,"Prod2 Playbook - DevFactory: Central Process: EC2 - Delete instance - L3 WU - 18535",DevFactory,DevFactory,2021,15,0,26,0,Y,2,,,,15,2,2021
Playbook,CENPRO-18536,"Prod2 Playbook - DevFactory: Central Process: EC2 - Optimize instance - L3 WU - 18536",DevFactory,DevFactory,2021,19,0,54,0,Y,2,,,,19,2,2021
Cost Optimization,CENPRO-18545,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - DynamoDB VPC endpoints - 18545",DevFactory,DevFactory,2021,21,0,67,0,Y,2,,,,21,2,2021
Cost Optimization,CENPRO-18546,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Switch underused DynamoDB to on-demand mode - 18546",DevFactory,DevFactory,2021,40,0,202,0,Y,4,,,,40,4,2021
Change,CENPRO-18565,"Prod2 Change - CNU: CloudFix: Onboard AWS Organizations - 18565",DevFactory,CNU,2021,22,0,73,0,Y,2,,,,22,2,2021
Playbook,CENPRO-18567,"Prod2 Playbook - DevFactory: Central Process: TT Prep ALP Work Unit Design - 18567",DevFactory,DevFactory,2021,19,0,59,0,Y,2,,,,19,2,2021
Technical Teardown,CENPRO-18689,"Prod2 Technical Teardown - CNU: Other: TT for Cxpurt - 18689",DevFactory,CNU,2021,13,0,7,0,Y,1,,,,13,1,2021
Technical Teardown,CENPRO-18703,"Prod2 Technical Teardown - DevFactory: Other: AWS Glue Elastic Views - 18703",DevFactory,DevFactory,2021,25,0,90,0,Y,2,,,,25,2,2021
Playbook,CENPRO-18768,"Prod2 Playbook - DevFactory: Central Process: Reduce VMC Storage - WU - 18768",DevFactory,DevFactory,2021,17,0,32,0,Y,2,,,,17,2,2021
Change,CENPRO-18800,"Prod2 Change - CNU: DevFlows: Dynamically adding UI components to DevFlows - 18800",DevFactory,CNU,2021,19,0,44,0,Y,2,,,,19,2,2021
Cost Optimization,CENPRO-18883,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - ESW Credentials Management and Enforcement - 18883",DevFactory,DevFactory,2021,14,0,6,0,Y,2,,,,14,2,2021
Change,CENPRO-18896,"Prod2 Change - DevFactory: CloudCFO: Purchase and Refinance Recommendations - 18896",DevFactory,DevFactory,2021,30,0,118,0,Y,3,,,,30,3,2021
Playbook,CENPRO-18937,"Prod2 Playbook - DevFactory: Central Process: AZ consolidation - WU - 18937",DevFactory,DevFactory,2021,25,0,81,0,Y,2,,,,25,2,2021
Change,CENPRO-19108,"Prod2 Change - CNU: DevFlows: Throttling, AWS wide capacity constraints and recovery - 19108",DevFactory,CNU,2021,22,1,55,0,Y,2,37,3,2021,37,3,2021
Cost Optimization,CENPRO-19123,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Migrate from Intel to Graviton2 - 19123",DevFactory,DevFactory,2021,20,0,42,0,Y,2,,,,20,2,2021
Company Technical Teardown,CENPRO-19220,"Prod2 Company Technical Teardown - Imports: Adara: Adara - 19220",Imports,Imports,2021,18,0,24,0,Y,2,,,,18,2,2021
Technical Teardown,CENPRO-19221,"Prod2 Technical Teardown - Imports: Adara: Adara - 19221",Imports,Imports,2021,23,0,59,0,Y,2,,,,23,2,2021
Change,CENPRO-19226,"Prod2 Change - DevGraph: EngineYard: Add EFS support to Engine Yard Kontainers - 19226",DevFactory,DevGraph,2021,43,0,199,0,Y,4,,,,43,4,2021
Cost Optimization,CENPRO-19277,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Turn on AQUA for Amazon RedShift - 19277",DevFactory,DevFactory,2021,18,0,21,0,Y,2,,,,18,2,2021
Technical Teardown,CENPRO-19363,"Prod2 Technical Teardown - DevFactory: Other: Rewatch - 19363",DevFactory,DevFactory,2021,20,0,35,0,Y,2,,,,20,2,2021
Company Technical Teardown,CENPRO-19369,"Prod2 Company Technical Teardown - Imports: Visionael: Visionael - 19369",Imports,Imports,2021,16,0,5,0,Y,2,,,,16,2,2021
Change,CENPRO-19506,"Prod2 Change - CNU: DevFlows: Multi-tenant integrations in DevFlows - 19506",DevFactory,CNU,2021,18,1,15,0,Y,2,33,3,2021,33,3,2021
Change,CENPRO-19586,"Prod2 Change - DevFactory: Finance: Import NS Flow - 19586",DevFactory,DevFactory,2021,29,0,88,0,Y,3,,,,29,3,2021
Change,CENPRO-19588,"Prod2 Change - DevFactory: Finance: Import Quickbooks Flow - 19588",DevFactory,DevFactory,2021,29,0,88,0,Y,3,,,,29,3,2021
New,CENPRO-19600,"Prod2 New - DF 3rd Party: Cloud Charging and Billing: Autoplan MVP - 19600",DevFactory,DF 3rd Party,2021,18,0,10,0,Y,2,,,,18,2,2021
Change,CENPRO-19649,"Prod2 Change - Accuris: Other: Starlink Integration - 19649",ZephyrTel,Accuris,2021,22,0,37,0,Y,2,,,,22,2,2021
Technical Teardown,CENPRO-19650,"Prod2 Technical Teardown - Accuris: Other: Accuris - 19650",ZephyrTel,Accuris,2021,19,2,16,0,Y,2,,,,19,2,2021
Change,CENPRO-19651,"Prod2 Change - Accuris: Other: Accuris WiFi marketplace - 19651",ZephyrTel,Accuris,2021,21,0,30,0,Y,2,,,,21,2,2021
Playbook,CENPRO-19772,"Prod2 Playbook - DevFactory: Central Process: P2 Product Overview for Teardowns - ALP System design and WUs - 19772",DevFactory,DevFactory,2021,18,1,7,0,Y,2,,,,18,2,2021
Cost Optimization,CENPRO-19774,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Replace Cloudwiry SCA - 19774",DevFactory,DevFactory,2021,21,0,27,0,Y,2,,,,21,2,2021
Cost Optimization,CENPRO-19812,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Ensure all EC2 and RDS resources have credentials maintained - 19812",DevFactory,DevFactory,2021,40,0,161,0,Y,4,,,,40,4,2021
Cost Optimization,CENPRO-19850,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Move ElasticSearch to Graviton2 - 19850",DevFactory,DevFactory,2021,20,0,19,0,Y,2,,,,20,2,2021
Cost Optimization,CENPRO-20042,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Detect small objects in S3 glacier - 20042",DevFactory,DevFactory,2021,23,0,33,0,Y,2,,,,23,2,2021
New,CENPRO-20182,"Prod2 New - DevFactory: Other: Twilio APIs that are missing from AWS Connect - 20182",DevFactory,DevFactory,2021,22,0,22,0,Y,2,,,,22,2,2021
Technical Teardown,CENPRO-20204,"Prod2 Technical Teardown - DevFactory: Other: CAST Highlight - 20204",DevFactory,DevFactory,2021,41,0,153,0,Y,4,,,,41,4,2021
Technical Teardown,CENPRO-20221,"Prod2 Technical Teardown - DevFactory: Other: AWS QuickSight - 20221",DevFactory,DevFactory,2021,28,0,63,0,Y,3,,,,28,3,2021
Cost Optimization,CENPRO-20245,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Retype EBS volumes based on throughput and IOPS - 20245",DevFactory,DevFactory,2021,23,0,26,0,Y,2,,,,23,2,2021
Change,CENPRO-20250,"Prod2 Change - CNU: DevFlows: Variables in DevFlows - 20250",DevFactory,CNU,2021,23,1,26,0,Y,2,41,4,2021,41,4,2021
Technical Teardown,CENPRO-20251,"Prod2 Technical Teardown - DevFactory: Other: StitchData - 20251",DevFactory,DevFactory,2021,36,0,116,0,Y,3,,,,36,3,2021
Change,CENPRO-20253,"Prod2 Change - CNU: DevFlows: Date and Time manipulation on DevFlows Mapping - 20253",DevFactory,CNU,2021,28,0,63,0,Y,3,,,,28,3,2021
Technical Teardown,CENPRO-20254,"Prod2 Technical Teardown - DevFactory: Other: Connector Press - 20254",DevFactory,DevFactory,2021,40,0,145,0,Y,4,,,,40,4,2021
Change,CENPRO-20252,"Prod2 Change - CNU: DevFlows: Input node immediate and eventual response - 20252",DevFactory,CNU,2021,50,0,208,1,N,4,,,,50,4,2021
Technical Teardown,CENPRO-20276,"Prod2 Technical Teardown - DevFactory: Other: AWS Application Migration Service - 20276",DevFactory,DevFactory,2021,37,0,126,0,Y,3,,,,37,3,2021
Change,CENPRO-20294,"Prod2 Change - Olive Software: Olive-DigitalEdition: Akamai CDN Replacement - 20294",Ignite,Olive Software,2021,21,0,11,0,Y,2,,,,21,2,2021
Cost Optimization,CENPRO-20309,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Policy enforcement to shut down non spot instances in Non Prod accounts - 20309",DevFactory,DevFactory,2021,22,0,18,0,Y,2,,,,22,2,2021
Change,CENPRO-20328,"Prod2 Change - CNU: DevFlows: Support subflows - 20328",DevFactory,CNU,2021,23,1,24,0,Y,2,37,3,2021,37,3,2021
Change,CENPRO-20330,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: Spending limit control - 20330",DevFactory,DF 3rd Party,2021,21,0,10,0,Y,2,,,,21,2,2021
Change,CENPRO-20351,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: Long-Term CDR storage - 20351",DevFactory,DF 3rd Party,2021,24,1,30,0,Y,2,41,4,2021,41,4,2021
Cost Optimization,CENPRO-20438,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Upgrade Elasticsearch to v7.x - 20438",DevFactory,DevFactory,2021,34,0,97,0,Y,3,,,,34,3,2021
Cost Optimization,CENPRO-20530,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - S3 Storage Lens - 20530",DevFactory,DevFactory,2021,30,0,69,0,Y,3,,,,30,3,2021
Cost Optimization,CENPRO-20630,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - S3 Object Lambda - 20630",DevFactory,DevFactory,2021,35,0,95,0,Y,3,,,,35,3,2021
Technical Teardown,CENPRO-20635,"Prod2 Technical Teardown - DevFactory: Other: Orchid VPN - 20635",DevFactory,DevFactory,2021,22,0,6,0,Y,2,,,,22,2,2021
Technical Teardown,CENPRO-20639,"Prod2 Technical Teardown - Jive: Jive Cloud: Jive Caching - 20639",Aurea Jive,Jive,2021,30,0,62,0,Y,3,,,,30,3,2021
Roadmap,CENPRO-20641,"Prod3 Roadmap - Jive: Jive Cloud: Operational Roadmap for Jive - 20641",Aurea Jive,Jive,2021,23,0,14,0,Y,2,,,,23,2,2021
Cost Optimization,CENPRO-20669,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Policy to delete old incomplete multipart uploads - 20669",DevFactory,DevFactory,2021,23,0,14,0,Y,2,,,,23,2,2021
Technical Teardown,CENPRO-20761,"Prod2 Technical Teardown - DevFactory: Central Process: ESW Governance - 20761",DevFactory,DevFactory,2021,28,0,48,0,Y,3,,,,28,3,2021
Change,CENPRO-20785,"Prod2 Change - CNU: CloudFix: Reservation recommendations - 20785",DevFactory,CNU,2021,22,0,4,0,Y,2,,,,22,2,2021
New,CENPRO-20823,"Prod2 New - DevFactory: Other: Framework to support TMForum APIs - 20823",DevFactory,DevFactory,2021,22,4,3,0,Y,2,,,,22,2,2021
Company Technical Teardown,CENPRO-21072,"Prod2 Company Technical Teardown - Imports: Xant: Xant - 21072",Imports,Imports,2021,23,0,3,0,Y,2,,,,23,2,2021
Technical Teardown,CENPRO-21073,"Prod2 Technical Teardown - Imports: Xant: Xant - 21073",Imports,Imports,2021,27,0,31,0,Y,3,,,,27,3,2021
Cost Reduction,CENPRO-21076,"Prod2 Cost Reduction - Imports: Xant: Xant - 21076",Imports,Imports,2021,36,0,95,0,Y,3,,,,36,3,2021
Technical Teardown,CENPRO-21289,"Prod2 Technical Teardown - DevFactory: Other: Amazon Timestream - 21289",DevFactory,DevFactory,2021,30,0,49,0,Y,3,,,,30,3,2021
Change,CENPRO-21299,"Prod2 Change - CTS: SalesBUILDER: Certify SalesBuilder for Docker usage - 21299",Ignite,CTS,2021,35,2,80,0,Y,3,,,,35,3,2021
New,CENPRO-21367,"Prod2 New - DF 3rd Party: TM Forum API: Network - Resources - 21367",DevFactory,DF 3rd Party,2021,25,1,11,0,Y,2,,,,25,2,2021
New,CENPRO-21369,"Prod2 New - DF 3rd Party: TM Forum API: Network - Services - 21369",DevFactory,DF 3rd Party,2021,25,1,11,0,Y,2,,,,25,2,2021
Technical Teardown,CENPRO-21514,"Prod2 Technical Teardown - DevFactory: Other: Nylas - 21514",DevFactory,DevFactory,2021,25,0,6,0,Y,2,,,,25,2,2021
Technical Teardown,CENPRO-21562,"Prod2 Technical Teardown - Central Core: VDR: VDR - 21562",DevFactory,Central Core,2021,28,0,25,0,Y,3,,,,28,3,2021
Technical Teardown,CENPRO-21599,"Prod2 Technical Teardown - DevFactory: Other: Spot - 21599",DevFactory,DevFactory,2021,26,0,18,0,Y,2,,,,26,2,2021
Change,CENPRO-21675,"Prod2 Change - DevGraph: EngineYard: Add DevSpaces to Engine Yard Kontainers - 21675",DevFactory,DevGraph,2021,43,0,129,0,Y,4,,,,43,4,2021
Technical Teardown,CENPRO-21786,"Prod2 Technical Teardown - Central Core: Internal Production: Netsuite/Salesforce Connector - 21786",DevFactory,Central Core,2021,37,0,82,0,Y,3,,,,37,3,2021
Change,CENPRO-21895,"Prod2 Change - CNU: CloudFix: CO1 Process Update - 21895",DevFactory,CNU,2021,26,0,11,0,Y,2,,,,26,2,2021
Playbook,CENPRO-21927,"Prod2 Playbook - DevFactory: Central Process: Technical Teardown - WU - 21927",DevFactory,DevFactory,2021,28,0,18,0,Y,3,,,,28,3,2021
Change,CENPRO-21969,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: Deployment Topology and Disaster Recovery - 21969",DevFactory,DF 3rd Party,2021,28,0,13,0,Y,3,,,,28,3,2021
Playbook,CENPRO-22026,"Prod2 Playbook - DevFactory: Central Process: 1 Day VPA - Tech Comparison - WU - 22026",DevFactory,DevFactory,2021,30,0,27,0,Y,3,,,,30,3,2021
Code Level Cost Reduction,CENPRO-22118,"Prod2 Code Level Cost Reduction - Jive: Jive: Budgeting and policies on QA environments - 22118",Aurea Jive,Jive,2021,35,0,58,0,Y,3,,,,35,3,2021
Change,CENPRO-22277,"Prod2 Change - TPM: TPM: Expand TPM Learning and Results - 22277",DevFactory,TPM,2021,30,0,19,0,Y,3,,,,30,3,2021
Code Level Cost Reduction,CENPRO-22397,"Prod2 Code Level Cost Reduction - SLI Systems: SLI Systems: Replace self-hosted MongoDB - 22397",Avolin,SLI Systems,2021,36,0,58,0,Y,3,,,,36,3,2021
Change,CENPRO-22409,"Prod2 Change - CNU: CloudFix: Use Change Manager for fixers - 22409",DevFactory,CNU,2021,29,0,10,0,Y,3,,,,29,3,2021
Code Level Cost Reduction,CENPRO-22411,"Prod2 Code Level Cost Reduction - Jive: Cloud Core: Optimize Compute - 22411",Aurea Jive,Jive,2021,37,0,65,0,Y,3,,,,37,3,2021
Code Level Cost Reduction,CENPRO-22413,"Prod2 Code Level Cost Reduction - Jive: Jive Cloud: Fix Jive Logging - 22413",Aurea Jive,Jive,2021,35,0,49,0,Y,3,,,,35,3,2021
Code Level Cost Reduction,CENPRO-22420,"Prod2 Code Level Cost Reduction - Jive: Jive Cloud: Use Reserved Queues for Video Processing - 22420",Aurea Jive,Jive,2021,35,0,49,0,Y,3,,,,35,3,2021
Code Level Cost Reduction,CENPRO-22424,"Prod2 Code Level Cost Reduction - Jive: Jive Cloud: Extract jiveTaskQueue and Task History from RDS - 22424",Aurea Jive,Jive,2021,35,1,49,0,Y,3,,,,35,3,2021
Code Level Cost Reduction,CENPRO-22427,"Prod2 Code Level Cost Reduction - Jive: Jive Cloud: Change Distributed ID Generation Mechanism - 22427",Aurea Jive,Jive,2021,35,0,49,0,Y,3,,,,35,3,2021
Technical Teardown,CENPRO-22654,"Prod2 Technical Teardown - DevFactory: Other: AWS Well Architected Framework - 22654",DevFactory,DevFactory,2021,35,0,47,0,Y,3,,,,35,3,2021
Playbook,CENPRO-22720,"Prod2 Playbook - DevFactory: Central Process: 1 Day VPA - Code Analysis - WU - 22720",DevFactory,DevFactory,2021,31,0,18,0,Y,3,,,,31,3,2021
Technical Teardown,CENPRO-22725,"Prod2 Technical Teardown - Imports: Xant: Xant Post Close - 22725",Imports,Imports,2021,32,0,25,0,Y,3,,,,32,3,2021
Change,CENPRO-22729,"Prod2 Change - DF 3rd Party: Cloud Charging and Billing: CDR Contents - 22729",DevFactory,DF 3rd Party,2021,31,0,18,0,Y,3,,,,31,3,2021
Change,CENPRO-22961,"Prod2 Change - CNU: CloudFix: Metric data model update - 22961",DevFactory,CNU,2021,31,0,13,0,Y,3,,,,31,3,2021
Change,CENPRO-23010,"Prod2 Change - CNU: CloudFix: Costgraph data model update - 23010",DevFactory,CNU,2021,32,0,19,0,Y,3,,,,32,3,2021
